"","X","Latitude","Longitude","year","direction","T_final","Tmax_p","RMI_p","elevation1"
"1",1,38.5344946,-78.37235637,"year_2005","NE",22.94098659606,28.5044822692894,21.7904624938965,826.642822265625
"2",2,38.5344946,-78.37235637,"year_2006","NE",22.84898563606,28.5044822692894,21.7904624938965,826.642822265625
"3",3,38.5344946,-78.37235637,"year_2007.","NE",21.79298587606,28.5044822692894,21.7904624938965,826.642822265625
"4",4,38.5344946,-78.37235637,"year_2008","NE",22.23898693606,28.5044822692894,21.7904624938965,826.642822265625
"5",5,38.5344946,-78.37235637,"year_2009","NE",20.09898563606,28.5044822692894,21.7904624938965,826.642822265625
"6",6,38.5344946,-78.37235637,"year_2010","NE",24.99798580606,28.5044822692894,21.7904624938965,826.642822265625
"7",7,38.5344946,-78.37235637,"year_2011","NE",24.55498691606,28.5044822692894,21.7904624938965,826.642822265625
"8",8,38.5344946,-78.37235637,"year_2012","NE",24.40198513606,28.5044822692894,21.7904624938965,826.642822265625
"9",9,38.5344946,-78.37235637,"year_2013","NE",22.20498653606,28.5044822692894,21.7904624938965,826.642822265625
"10",10,38.5344946,-78.37235637,"year_2014","NE",21.47798534606,28.5044822692894,21.7904624938965,826.642822265625
"11",11,38.5344946,-78.37235637,"year_2015","NE",22.15798564606,28.5044822692894,21.7904624938965,826.642822265625
"12",12,38.5344946,-78.37235637,"year_2016","NE",23.39898677606,28.5044822692894,21.7904624938965,826.642822265625
"13",13,38.53906,-78.42046,"year_2005","NW",25.006930160896,28.4951934814412,17.6494388580322,864.636535644531
"14",14,38.53906,-78.42046,"year_2006","NW",24.939928810896,28.4951934814412,17.6494388580322,864.636535644531
"15",15,38.53906,-78.42046,"year_2007.","NW",23.877930450896,28.4951934814412,17.6494388580322,864.636535644531
"16",16,38.53906,-78.42046,"year_2008","NW",24.398930350896,28.4951934814412,17.6494388580322,864.636535644531
"17",17,38.53906,-78.42046,"year_2009","NW",22.301930230896,28.4951934814412,17.6494388580322,864.636535644531
"18",18,38.53906,-78.42046,"year_2010","NW",27.255928800896,28.4951934814412,17.6494388580322,864.636535644531
"19",19,38.53906,-78.42046,"year_2011","NW",26.852928920896,28.4951934814412,17.6494388580322,864.636535644531
"20",20,38.53906,-78.42046,"year_2012","NW",26.690930170896,28.4951934814412,17.6494388580322,864.636535644531
"21",21,38.53906,-78.42046,"year_2013","NW",24.450930400896,28.4951934814412,17.6494388580322,864.636535644531
"22",22,38.53906,-78.42046,"year_2014","NW",23.674929420896,28.4951934814412,17.6494388580322,864.636535644531
"23",23,38.53906,-78.42046,"year_2015","NW",24.417929450896,28.4951934814412,17.6494388580322,864.636535644531
"24",24,38.53906,-78.42046,"year_2016","NW",25.476929470896,28.4951934814412,17.6494388580322,864.636535644531
"25",25,38.54142,-78.42159,"year_2005","NW",26.00781880288,29.3779373168885,15.1913585662842,736.97216796875
"26",26,38.54142,-78.42159,"year_2006","NW",25.94081745288,29.3779373168885,15.1913585662842,736.97216796875
"27",27,38.54142,-78.42159,"year_2007.","NW",24.87881909288,29.3779373168885,15.1913585662842,736.97216796875
"28",28,38.54142,-78.42159,"year_2008","NW",25.39981899288,29.3779373168885,15.1913585662842,736.97216796875
"29",29,38.54142,-78.42159,"year_2009","NW",23.30281887288,29.3779373168885,15.1913585662842,736.97216796875
"30",30,38.54142,-78.42159,"year_2010","NW",28.25681744288,29.3779373168885,15.1913585662842,736.97216796875
"31",31,38.54142,-78.42159,"year_2011","NW",27.85381756288,29.3779373168885,15.1913585662842,736.97216796875
"32",32,38.54142,-78.42159,"year_2012","NW",27.69181881288,29.3779373168885,15.1913585662842,736.97216796875
"33",33,38.54142,-78.42159,"year_2013","NW",25.45181904288,29.3779373168885,15.1913585662842,736.97216796875
